Security Group,User Type,Menu Name,Form Name,Auth 
VRS_ADMIN,A,REBATES.REBATE_PROGRAM,rebate_program,M
VRS_ADMIN,A,REBATES.STANDARD_INVOICES,invoices,M
VRS_ADMIN,A,REBATES.TREASURY_INVOICES,treasury_inv,M
VRS_ADMIN,A,REBATES.BATCH_PROCESSES,extract_and_calculate,M
VRS_ADMIN,A,REBATES.BATCH_REVIEW,review,M
VRS_ADMIN,A,REBATES.BATCH_APPROVAL,approve,M
VRS_ADMIN,A,REBATES.BATCH_FINALIZE,finalize,M
VRS_ADMIN,A,REBATES.ACCT_SUMMARY,acct_summary,M
VRS_ADMIN,A,REBATES.UPLOADS,upload,M
VRS_ADMIN,A,REBATES.ATTACH_MULTIPLE,multi_attach,M
VRS_ADMIN,A,REBATES.ON_DEMAND,on_demand_launcher,M
VRS_ADMIN,A,REBATES.ON_DEMAND_PREPAID,on_demand_prepaid,M
VRS_ADMIN,A,SUBSYSTEMS.ACCT_APPROVAL_QUEUE,ap_approval,M
VRS_ADMIN,A,SUBSYSTEMS.SCANBACK_AUDIT,ad_funding,M
VRS_ADMIN,A,SUBSYSTEMS.NDA_DASHBAORD,ndc_upload,M
VRS_ADMIN,A,SUBSYSTEMS.NSA_DASHBOARD,nsa_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.POST_AUDIT_UPLOAD,pa_upload,M
VRS_ADMIN,A,SUBSYSTEMS.COST_CHANGE_FEE_DASHBOARD,cf_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.FREIGHT_DASHBOARD,freight_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.S5S5_DASHBOARD,ss_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.TT_DASHBOARD,tt_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.FRONT_END_DASHBOARD,fe_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.BB_DASHBOARD,bb_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.DG_MEDIA_UPLOAD,dgm_upload,M
VRS_ADMIN,A,SUBSYSTEMS.DG_MEDIA_20,dgm_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.BOPIS_DASHBOARD,bopis_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.TOBACCO_ACCRUAL,tobacco_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.UNSALEABLES,unsale_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.CONTRACTS,vrs_contracts,M
VRS_ADMIN,A,SUBSYSTEMS.VENDOR_EMAILS,vendor_emails,M
VRS_ADMIN,A,SUBSYSTEMS.WRITE_OFF_UPLOAD,wo_upload,M
VRS_ADMIN,A,HISTORY.HISTORY_EXTRACTS,history_extracts,M
VRS_ADMIN,A,HISTORY.HISTORY_EXTRACTS_OTHER,history_extracts_other,M
VRS_ADMIN,A,HISTORY.DEDUCTIONS_TAKEN,deductions,M
VRS_ADMIN,A,HISTORY.CHECKS_RECEIVED,checks_received,M
VRS_ADMIN,A,HISTORY.ADJUSTMENTS,adjustments,M
VRS_ADMIN,A,HISTORY.BATCHES,batches,M
VRS_ADMIN,A,HISTORY.AUDIT_LOG,audit_logs,M
VRS_ADMIN,A,HISTORY.REPORTS,vrs_reports,M
VRS_ADMIN,A,HISTORY.PERIOD_END_REPORTS,vrs_pe_reports,M
VRS_ADMIN,A,HISTORY.INQUIRIES,inquiry_forms,M
VRS_ADMIN,A,INQUIRY.ACCT_TRANSACTIONS,acct_trans_inq,M
VRS_ADMIN,A,HISTORY.ACCRUAL_HISTORY,accrual_history,M
VRS_ADMIN,A,INQUIRY.ACTUAL_BUCKETS,buckets,M
VRS_ADMIN,A,INQUIRY.AGED_INQUIRY,aged_inquiry,M
VRS_ADMIN,A,INQUIRY.PREPAID_INQUIRY,prepaid_inquiry,M
VRS_ADMIN,A,INQUIRY.SKU_INQUIRY,sku_inquiry,M
VRS_ADMIN,A,INQUIRY.OFFER_INQUIRY,offer_inquiry,M
VRS_ADMIN,A,INQUIRY.VAR_SUMMARY_BY_DEPT,var_sum,M
VRS_ADMIN,A,INQUIRY.ACTUAL_DAMAGES,damages_actual,M
VRS_ADMIN,A,INQUIRY.DAMAGES_COMPARISON,damages_comparison,M
VRS_ADMIN,A,MAINTENANCE.REBATE_TYPES,rebate_types,M
VRS_ADMIN,A,MAINTENANCE.REBATE_CATEGORY,rebate_category_types,M
VRS_ADMIN,A,MAINTENANCE.VENDOR_CONTACTS,vendor_contact,M
VRS_ADMIN,A,MAINTENANCE.ACCOUNTING_CONTROLS,acct_control_master,M
VRS_ADMIN,A,MAINTENANCE.PARAMETERS,parameters,M
VRS_ADMIN,A,MAINTENANCE.REPORT_TYPES,report_types,M
VRS_ADMIN,A,MAINTENANCE.SECURITY,security,M
VRS_ADMIN,A,VRA_VRT.MAINTAIN_VRAVRT,fcst_rebate_program,R
VRS_ADMIN,A,VRA_VRT.SETUPLINK_AGREEMENT_TO_MASTER,vendor_contract_mgmt,R
VRS_ADMIN,A,VRA_VRT.EXPORT_AGMT,agreement_export,R
VRS_ADMIN,A,VRA_VRT.EXPORT_TPR,tpr_export,R
VRS_ADMIN,A,VRA_VRT.EXPORT_DETAILED_FORECAST,forecast_export,R
VRS_ADMIN,A,VRA_VRT.LOG_VIEWER,log_viewer,R
VRS_ADMIN,A,REPORTS.DEAL_VARIANCE,deal_variance_report,R
VRS_ADMIN,A,REPORTS.EARNINGS,earnings_to_rec_sale,R
VRS_ADMIN,A,REPORTS.REBATE_DOLLARS,rebate_dollars_by_pog,R
VRS_ADMIN,A,REPORTS.BUYER_AGREEMENT_RECAP,buyer_agreement_recap,R
VRS_ADMIN,A,REPORTS.PERIOD_VARIANCE,period_variance_by_vendor,R
VRS_ADMIN,A,REPORTS.STANDARD_REPORT_SET,standard_report_set,R
VRS_ADMIN,A,REPORTS.PLAN_REPORT_SET,standard_plan_report_set,R
VRS_ADMIN,A,PLANFORECAST.FORECAST_MAINTENANCE,fcst_maint,M
VRS_ADMIN,A,PLANFORECAST.FORECAST_ADJUSTMENTS,fcst_adjustment,R
VRS_ADMIN,A,PLANFORECAST.PLAN_MAINTENANCE,plan_maint,M
VRS_ADMIN,A,PLANFORECAST.PLAN_ADJUSTMENTS,plan_adjustment,R
VRS_ADMIN,A,PLANFORECAST.CYCLE_CLOSE,fcst_cycle_close,R
VRS_ADMIN,A,PLANFORECAST.PERIOD_CLOSE_VARIANCE_ANALYSIS,rebate_variance,R
VRS_ADMIN,A,PLANFORECAST.VARIANCE_ANALYSIS,fcst_variance,R
VRS_ADMIN,A,DASHBOARDS.BUYER_DASHBOARD,buyer_dashboard,R
VRS_ADMIN,A,DASHBOARDS.DMMGMM_DASHBOARD,dmm_dashboard,R
VRS_ADMIN,A,DASHBOARDS.FPA_DASHBOARD,fpa_dashboard,R
VRS_ADMIN,A,DASHBOARDS.AP_APPROVAL_QUEUE,ap_approval,M
VRS_ADMIN,A,DASHBOARDS.DASHBOARD_USER_MGMT,mdse_user_mgmt,R
VRS_ADMIN,A,MAINTENANCESETUP.DG_RACING_DEAL_MASTER,dg_racing_program,R
VRS_ADMIN,A,MAINTENANCESETUP.AD_PRINT_COOP_MASTER,ad_coop_program,M
VRS_ADMIN,A,MAINTENANCESETUP.FORECAST_ID_MGMT,fcst_id_mgmt,R
VRS_ADMIN,A,MAINTENANCESETUP.MERCH_REBATE_TYPES_SETUP,mdse_rebate_config,R
VRS_ADMIN,A,MAINTENANCESETUP.CONSOLIDATE_VENDORS,consolidate_vendor_mgmt,R
VRS_ADMIN,A,MAINTENANCESETUP.MDSE_VENDOR_CONTACT,mdse_vendor_contact,R
VRS_ADMIN,A,MAINTENANCESETUP.POG_MAINTENANCE,pog_maint,R
VRS_ADMIN_RO,A,REBATES.REBATE_PROGRAM,rebate_program,R
VRS_ADMIN_RO,A,REBATES.STANDARD_INVOICES,invoices,R
VRS_ADMIN_RO,A,REBATES.TREASURY_INVOICES,treasury_inv,R
VRS_ADMIN_RO,A,REBATES.BATCH_PROCESSES,extract_and_calculate,R
VRS_ADMIN_RO,A,REBATES.BATCH_REVIEW,review,R
VRS_ADMIN_RO,A,REBATES.BATCH_APPROVAL,approve,R
VRS_ADMIN_RO,A,REBATES.BATCH_FINALIZE,finalize,R
VRS_ADMIN_RO,A,REBATES.ACCT_SUMMARY,acct_summary,R
VRS_ADMIN_RO,A,REBATES.UPLOADS,upload,R
VRS_ADMIN_RO,A,REBATES.ATTACH_MULTIPLE,multi_attach,R
VRS_ADMIN_RO,A,REBATES.ON_DEMAND,on_demand_launcher,R
VRS_ADMIN_RO,A,REBATES.ON_DEMAND_PREPAID,on_demand_prepaid,R
VRS_ADMIN_RO,A,SUBSYSTEMS.ACCT_APPROVAL_QUEUE,ap_approval,R
VRS_ADMIN_RO,A,SUBSYSTEMS.SCANBACK_AUDIT,ad_funding,R
VRS_ADMIN_RO,A,SUBSYSTEMS.NDA_DASHBAORD,ndc_upload,R
VRS_ADMIN_RO,A,SUBSYSTEMS.NSA_DASHBOARD,nsa_dashboard,R
VRS_ADMIN_RO,A,SUBSYSTEMS.POST_AUDIT_UPLOAD,pa_upload,M
VRS_ADMIN_RO,A,SUBSYSTEMS.COST_CHANGE_FEE_DASHBOARD,cf_dashboard,R
VRS_ADMIN_RO,A,SUBSYSTEMS.FREIGHT_DASHBOARD,freight_dashboard,R
VRS_ADMIN_RO,A,SUBSYSTEMS.S5S5_DASHBOARD,ss_dashboard,R
VRS_ADMIN_RO,A,SUBSYSTEMS.TT_DASHBOARD,tt_dashboard,R
VRS_ADMIN_RO,A,SUBSYSTEMS.FRONT_END_DASHBOARD,fe_dashboard,R
VRS_ADMIN_RO,A,SUBSYSTEMS.BB_DASHBOARD,bb_dashboard,R
VRS_ADMIN_RO,A,SUBSYSTEMS.DG_MEDIA_UPLOAD,dgm_upload,R
VRS_ADMIN_RO,A,SUBSYSTEMS.DG_MEDIA_20,dgm_dashboard,R
VRS_ADMIN_RO,A,SUBSYSTEMS.BOPIS_DASHBOARD,bopis_dashboard,R
VRS_ADMIN_RO,A,SUBSYSTEMS.TOBACCO_ACCRUAL,tobacco_dashboard,R
VRS_ADMIN_RO,A,SUBSYSTEMS.UNSALEABLES,unsale_dashboard,R
VRS_ADMIN_RO,A,SUBSYSTEMS.CONTRACTS,vrs_contracts,R
VRS_ADMIN_RO,A,SUBSYSTEMS.VENDOR_EMAILS,vendor_emails,R
VRS_ADMIN_RO,A,SUBSYSTEMS.WRITE_OFF_UPLOAD,wo_upload,R
VRS_ADMIN_RO,A,HISTORY.HISTORY_EXTRACTS,history_extracts,M
VRS_ADMIN_RO,A,HISTORY.HISTORY_EXTRACTS_OTHER,history_extracts_other,R
VRS_ADMIN_RO,A,HISTORY.DEDUCTIONS_TAKEN,deductions,R
VRS_ADMIN_RO,A,HISTORY.CHECKS_RECEIVED,checks_received,R
VRS_ADMIN_RO,A,HISTORY.ADJUSTMENTS,adjustments,R
VRS_ADMIN_RO,A,HISTORY.BATCHES,batches,R
VRS_ADMIN_RO,A,HISTORY.AUDIT_LOG,audit_logs,R
VRS_ADMIN_RO,A,HISTORY.REPORTS,vrs_reports,M
VRS_ADMIN_RO,A,HISTORY.PERIOD_END_REPORTS,vrs_pe_reports,M
VRS_ADMIN_RO,A,HISTORY.INQUIRIES,inquiry_forms,R
VRS_ADMIN_RO,A,INQUIRY.ACCT_TRANSACTIONS,acct_trans_inq,R
VRS_ADMIN_RO,A,HISTORY.ACCRUAL_HISTORY,accrual_history,R
VRS_ADMIN_RO,A,INQUIRY.ACTUAL_BUCKETS,buckets,R
VRS_ADMIN_RO,A,INQUIRY.AGED_INQUIRY,aged_inquiry,R
VRS_ADMIN_RO,A,INQUIRY.PREPAID_INQUIRY,prepaid_inquiry,R
VRS_ADMIN_RO,A,INQUIRY.SKU_INQUIRY,sku_inquiry,R
VRS_ADMIN_RO,A,INQUIRY.OFFER_INQUIRY,offer_inquiry,R
VRS_ADMIN_RO,A,INQUIRY.VAR_SUMMARY_BY_DEPT,var_sum,R
VRS_ADMIN_RO,A,INQUIRY.ACTUAL_DAMAGES,damages_actual,R
VRS_ADMIN_RO,A,INQUIRY.DAMAGES_COMPARISON,damages_comparison,R
VRS_ADMIN_RO,A,MAINTENANCE.REBATE_TYPES,rebate_types,R
VRS_ADMIN_RO,A,MAINTENANCE.REBATE_CATEGORY,rebate_category_types,R
VRS_ADMIN_RO,A,MAINTENANCE.VENDOR_CONTACTS,vendor_contact,R
VRS_ADMIN_RO,A,MAINTENANCE.ACCOUNTING_CONTROLS,acct_control_master,R
VRS_ADMIN_RO,A,MAINTENANCE.PARAMETERS,parameters,R
VRS_ADMIN_RO,A,MAINTENANCE.REPORT_TYPES,report_types,R
VRS_ADMIN_RO,A,MAINTENANCE.SECURITY,security,R
VRS_ADMIN_RO,A,VRA_VRT.MAINTAIN_VRAVRT,fcst_rebate_program,R
VRS_ADMIN_RO,A,VRA_VRT.SETUPLINK_AGREEMENT_TO_MASTER,vendor_contract_mgmt,R
VRS_ADMIN_RO,A,VRA_VRT.EXPORT_AGMT,agreement_export,R
VRS_ADMIN_RO,A,VRA_VRT.EXPORT_TPR,tpr_export,R
VRS_ADMIN_RO,A,VRA_VRT.EXPORT_DETAILED_FORECAST,forecast_export,R
VRS_ADMIN_RO,A,VRA_VRT.LOG_VIEWER,log_viewer,R
VRS_ADMIN_RO,A,REPORTS.DEAL_VARIANCE,deal_variance_report,R
VRS_ADMIN_RO,A,REPORTS.EARNINGS,earnings_to_rec_sale,R
VRS_ADMIN_RO,A,REPORTS.REBATE_DOLLARS,rebate_dollars_by_pog,R
VRS_ADMIN_RO,A,REPORTS.BUYER_AGREEMENT_RECAP,buyer_agreement_recap,R
VRS_ADMIN_RO,A,REPORTS.PERIOD_VARIANCE,period_variance_by_vendor,R
VRS_ADMIN_RO,A,REPORTS.STANDARD_REPORT_SET,standard_report_set,R
VRS_ADMIN_RO,A,REPORTS.PLAN_REPORT_SET,standard_plan_report_set,R
VRS_ADMIN_RO,A,PLANFORECAST.FORECAST_MAINTENANCE,fcst_maint,R
VRS_ADMIN_RO,A,PLANFORECAST.FORECAST_ADJUSTMENTS,fcst_adjustment,R
VRS_ADMIN_RO,A,PLANFORECAST.PLAN_MAINTENANCE,plan_maint,R
VRS_ADMIN_RO,A,PLANFORECAST.PLAN_ADJUSTMENTS,plan_adjustment,R
VRS_ADMIN_RO,A,PLANFORECAST.CYCLE_CLOSE,fcst_cycle_close,R
VRS_ADMIN_RO,A,PLANFORECAST.PERIOD_CLOSE_VARIANCE_ANALYSIS,rebate_variance,R
VRS_ADMIN_RO,A,PLANFORECAST.VARIANCE_ANALYSIS,fcst_variance,R
VRS_ADMIN_RO,A,DASHBOARDS.BUYER_DASHBOARD,buyer_dashboard,R
VRS_ADMIN_RO,A,DASHBOARDS.DMMGMM_DASHBOARD,dmm_dashboard,R
VRS_ADMIN_RO,A,DASHBOARDS.FPA_DASHBOARD,fpa_dashboard,R
VRS_ADMIN_RO,A,DASHBOARDS.AP_APPROVAL_QUEUE,ap_approval,R
VRS_ADMIN_RO,A,DASHBOARDS.DASHBOARD_USER_MGMT,mdse_user_mgmt,R
VRS_ADMIN_RO,A,MAINTENANCESETUP.DG_RACING_DEAL_MASTER,dg_racing_program,R
VRS_ADMIN_RO,A,MAINTENANCESETUP.AD_PRINT_COOP_MASTER,ad_coop_program,R
VRS_ADMIN_RO,A,MAINTENANCESETUP.FORECAST_ID_MGMT,fcst_id_mgmt,R
VRS_ADMIN_RO,A,MAINTENANCESETUP.MERCH_REBATE_TYPES_SETUP,mdse_rebate_config,R
VRS_ADMIN_RO,A,MAINTENANCESETUP.CONSOLIDATE_VENDORS,consolidate_vendor_mgmt,R
VRS_ADMIN_RO,A,MAINTENANCESETUP.MDSE_VENDOR_CONTACT,mdse_vendor_contact,R
VRS_ADMIN_RO,A,MAINTENANCESETUP.POG_MAINTENANCE,pog_maint,R
VRS_APP_USER,A,REBATES.REBATE_PROGRAM,rebate_program,M
VRS_APP_USER,A,REBATES.STANDARD_INVOICES,invoices,M
VRS_APP_USER,A,REBATES.TREASURY_INVOICES,treasury_inv,M
VRS_APP_USER,A,REBATES.BATCH_PROCESSES,extract_and_calculate,R
VRS_APP_USER,A,REBATES.BATCH_REVIEW,review,R
VRS_APP_USER,A,REBATES.BATCH_APPROVAL,approve,R
VRS_APP_USER,A,REBATES.BATCH_FINALIZE,finalize,R
VRS_APP_USER,A,REBATES.ACCT_SUMMARY,acct_summary,R
VRS_APP_USER,A,REBATES.UPLOADS,upload,M
VRS_APP_USER,A,REBATES.ATTACH_MULTIPLE,multi_attach,M
VRS_APP_USER,A,REBATES.ON_DEMAND,on_demand_launcher,M
VRS_APP_USER,A,REBATES.ON_DEMAND_PREPAID,on_demand_prepaid,M
VRS_APP_USER,A,SUBSYSTEMS.ACCT_APPROVAL_QUEUE,ap_approval,M
VRS_APP_USER,A,SUBSYSTEMS.SCANBACK_AUDIT,ad_funding,M
VRS_APP_USER,A,SUBSYSTEMS.NDA_DASHBAORD,ndc_upload,M
VRS_APP_USER,A,SUBSYSTEMS.NSA_DASHBOARD,nsa_dashboard,M
VRS_APP_USER,A,SUBSYSTEMS.POST_AUDIT_UPLOAD,pa_upload,M
VRS_APP_USER,A,SUBSYSTEMS.COST_CHANGE_FEE_DASHBOARD,cf_dashboard,M
VRS_APP_USER,A,SUBSYSTEMS.FREIGHT_DASHBOARD,freight_dashboard,M
VRS_APP_USER,A,SUBSYSTEMS.S5S5_DASHBOARD,ss_dashboard,M
VRS_APP_USER,A,SUBSYSTEMS.TT_DASHBOARD,tt_dashboard,M
VRS_APP_USER,A,SUBSYSTEMS.FRONT_END_DASHBOARD,fe_dashboard,M
VRS_APP_USER,A,SUBSYSTEMS.BB_DASHBOARD,bb_dashboard,M
VRS_APP_USER,A,SUBSYSTEMS.DG_MEDIA_UPLOAD,dgm_upload,M
VRS_APP_USER,A,SUBSYSTEMS.DG_MEDIA_20,dgm_dashboard,M
VRS_APP_USER,A,SUBSYSTEMS.BOPIS_DASHBOARD,bopis_dashboard,M
VRS_APP_USER,A,SUBSYSTEMS.TOBACCO_ACCRUAL,tobacco_dashboard,R
VRS_APP_USER,A,SUBSYSTEMS.UNSALEABLES,unsale_dashboard,M
VRS_APP_USER,A,SUBSYSTEMS.CONTRACTS,vrs_contracts,M
VRS_APP_USER,A,SUBSYSTEMS.VENDOR_EMAILS,vendor_emails,M
VRS_APP_USER,A,SUBSYSTEMS.WRITE_OFF_UPLOAD,wo_upload,M
VRS_APP_USER,A,HISTORY.HISTORY_EXTRACTS,history_extracts,M
VRS_APP_USER,A,HISTORY.HISTORY_EXTRACTS_OTHER,history_extracts_other,M
VRS_APP_USER,A,HISTORY.DEDUCTIONS_TAKEN,deductions,M
VRS_APP_USER,A,HISTORY.CHECKS_RECEIVED,checks_received,M
VRS_APP_USER,A,HISTORY.ADJUSTMENTS,adjustments,M
VRS_APP_USER,A,HISTORY.BATCHES,batches,M
VRS_APP_USER,A,HISTORY.AUDIT_LOG,audit_logs,M
VRS_APP_USER,A,HISTORY.REPORTS,vrs_reports,M
VRS_APP_USER,A,HISTORY.PERIOD_END_REPORTS,vrs_pe_reports,M
VRS_APP_USER,A,HISTORY.INQUIRIES,inquiry_forms,M
VRS_APP_USER,A,INQUIRY.ACCT_TRANSACTIONS,acct_trans_inq,M
VRS_APP_USER,A,HISTORY.ACCRUAL_HISTORY,accrual_history,M
VRS_APP_USER,A,INQUIRY.ACTUAL_BUCKETS,buckets,M
VRS_APP_USER,A,INQUIRY.AGED_INQUIRY,aged_inquiry,M
VRS_APP_USER,A,INQUIRY.PREPAID_INQUIRY,prepaid_inquiry,M
VRS_APP_USER,A,INQUIRY.SKU_INQUIRY,sku_inquiry,M
VRS_APP_USER,A,INQUIRY.OFFER_INQUIRY,offer_inquiry,M
VRS_APP_USER,A,INQUIRY.VAR_SUMMARY_BY_DEPT,var_sum,R
VRS_APP_USER,A,INQUIRY.ACTUAL_DAMAGES,damages_actual,R
VRS_APP_USER,A,INQUIRY.DAMAGES_COMPARISON,damages_comparison,M
VRS_APP_USER,A,MAINTENANCE.REBATE_TYPES,rebate_types,R
VRS_APP_USER,A,MAINTENANCE.REBATE_CATEGORY,rebate_category_types,R
VRS_APP_USER,A,MAINTENANCE.VENDOR_CONTACTS,vendor_contact,M
VRS_APP_USER,A,MAINTENANCE.ACCOUNTING_CONTROLS,acct_control_master,R
VRS_APP_USER,A,MAINTENANCE.PARAMETERS,parameters,R
VRS_APP_USER,A,MAINTENANCE.REPORT_TYPES,report_types,R
VRS_APP_USER,A,MAINTENANCE.SECURITY,security,R
VRS_APP_USER,A,VRA_VRT.MAINTAIN_VRAVRT,fcst_rebate_program,R
VRS_APP_USER,A,VRA_VRT.SETUPLINK_AGREEMENT_TO_MASTER,vendor_contract_mgmt,R
VRS_APP_USER,A,VRA_VRT.EXPORT_AGMT,agreement_export,R
VRS_APP_USER,A,VRA_VRT.EXPORT_TPR,tpr_export,R
VRS_APP_USER,A,VRA_VRT.EXPORT_DETAILED_FORECAST,forecast_export,R
VRS_APP_USER,A,VRA_VRT.LOG_VIEWER,log_viewer,R
VRS_APP_USER,A,REPORTS.DEAL_VARIANCE,deal_variance_report,R
VRS_APP_USER,A,REPORTS.EARNINGS,earnings_to_rec_sale,R
VRS_APP_USER,A,REPORTS.REBATE_DOLLARS,rebate_dollars_by_pog,R
VRS_APP_USER,A,REPORTS.BUYER_AGREEMENT_RECAP,buyer_agreement_recap,R
VRS_APP_USER,A,REPORTS.PERIOD_VARIANCE,period_variance_by_vendor,R
VRS_APP_USER,A,REPORTS.STANDARD_REPORT_SET,standard_report_set,R
VRS_APP_USER,A,REPORTS.PLAN_REPORT_SET,standard_plan_report_set,R
VRS_APP_USER,A,PLANFORECAST.FORECAST_MAINTENANCE,fcst_maint,R
VRS_APP_USER,A,PLANFORECAST.FORECAST_ADJUSTMENTS,fcst_adjustment,R
VRS_APP_USER,A,PLANFORECAST.PLAN_MAINTENANCE,plan_maint,R
VRS_APP_USER,A,PLANFORECAST.PLAN_ADJUSTMENTS,plan_adjustment,R
VRS_APP_USER,A,PLANFORECAST.CYCLE_CLOSE,fcst_cycle_close,R
VRS_APP_USER,A,PLANFORECAST.PERIOD_CLOSE_VARIANCE_ANALYSIS,rebate_variance,R
VRS_APP_USER,A,PLANFORECAST.VARIANCE_ANALYSIS,fcst_variance,R
VRS_APP_USER,A,DASHBOARDS.BUYER_DASHBOARD,buyer_dashboard,R
VRS_APP_USER,A,DASHBOARDS.DMMGMM_DASHBOARD,dmm_dashboard,R
VRS_APP_USER,A,DASHBOARDS.FPA_DASHBOARD,fpa_dashboard,R
VRS_APP_USER,A,DASHBOARDS.AP_APPROVAL_QUEUE,ap_approval,M
VRS_APP_USER,A,DASHBOARDS.DASHBOARD_USER_MGMT,mdse_user_mgmt,R
VRS_APP_USER,A,MAINTENANCESETUP.DG_RACING_DEAL_MASTER,dg_racing_program,R
VRS_APP_USER,A,MAINTENANCESETUP.AD_PRINT_COOP_MASTER,ad_coop_program,R
VRS_APP_USER,A,MAINTENANCESETUP.FORECAST_ID_MGMT,fcst_id_mgmt,R
VRS_APP_USER,A,MAINTENANCESETUP.MERCH_REBATE_TYPES_SETUP,mdse_rebate_config,R
VRS_APP_USER,A,MAINTENANCESETUP.CONSOLIDATE_VENDORS,consolidate_vendor_mgmt,R
VRS_APP_USER,A,MAINTENANCESETUP.MDSE_VENDOR_CONTACT,mdse_vendor_contact,R
VRS_APP_USER,A,MAINTENANCESETUP.POG_MAINTENANCE,pog_maint,R
VRS_DAMAGES,A,REBATES.REBATE_PROGRAM,rebate_program,R
VRS_DAMAGES,A,REBATES.STANDARD_INVOICES,invoices,R
VRS_DAMAGES,A,REBATES.TREASURY_INVOICES,treasury_inv,R
VRS_DAMAGES,A,REBATES.BATCH_PROCESSES,extract_and_calculate,R
VRS_DAMAGES,A,REBATES.BATCH_REVIEW,review,R
VRS_DAMAGES,A,REBATES.BATCH_APPROVAL,approve,R
VRS_DAMAGES,A,REBATES.BATCH_FINALIZE,finalize,R
VRS_DAMAGES,A,REBATES.ACCT_SUMMARY,acct_summary,R
VRS_DAMAGES,A,REBATES.UPLOADS,upload,R
